Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
524 3945.28 6193.38 3967.24 6381.7
525 3943.37 6190.93 3965.38 6379.35
526 3941.64 6188.53 3963.57 6377.03
527 3940.05 6186.16 3961.79 6374.73
528 3938.6 6183.8 3960.03 6372.44
529 3937.31 6181.53 3958.34 6370.2
530 3936.19 6179.37 3956.73 6368.07
531 3935.21 6177.35 3955.21 6366.04
532 3934.35 6175.44 3953.78 6364.12
533 3933.57 6173.63 3952.42 6362.28
534 3932.83 6171.92 3951.12 6360.52
535 3932.09 6170.29 3949.86 6358.82
536 3931.33 6168.71 3948.62 6357.17
537 3930.5 6167.18 3947.4 6355.54
538 3929.58 6165.68 3946.18 6353.93
539 3928.54 6164.19 3944.93 6352.32
540 3927.36 6162.69 3943.66 6350.7
541 3926.04 6161.19 3942.34 6349.07
542 3924.59 6159.69 3941 6347.43
543 3923 6158.18 3939.63 6345.79
544 3921.3 6156.67 3938.24 6344.15
545 3919.47 6155.13 3936.81 6342.49
546 3917.52 6153.56 3935.35 6340.8
547 3915.5 6151.96 3933.86 6339.1
548 3913.42 6150.34 3932.37 6337.41
549 3911.3 6148.69 3930.87 6335.7
550 3909.15 6146.99 3929.35 6333.97
551 3906.98 6145.23 3927.81 6332.2
552 3904.84 6143.43 3926.27 6330.43
553 3902.77 6141.61 3924.77 6328.67
554 3900.79 6139.78 3923.3 6326.93
555 3898.91 6137.93 3921.86 6325.21
556 3897.14 6136.06 3920.46 6323.5
557 3895.5 6134.16 3919.08 6321.8
558 3894 6132.25 3917.74 6320.12
559 3892.66 6130.35 3916.46 6318.48
560 3891.48 6128.47 3915.24 6316.88
561 3890.46 6126.62 3914.07 6315.33
562 3889.6 6124.77 3912.95 6313.82
563 3888.86 6122.94 3911.86 6312.33
564 3888.25 6121.12 3910.81 6310.86
565 3887.73 6119.29 3909.78 6309.4
566 3887.28 6117.44 3908.76 6307.93
567 3886.88 6115.59 3907.75 6306.45
568 3886.51 6113.74 3906.75 6304.97
569 3886.17 6111.9 3905.75 6303.5
570 3885.81 6110.07 3904.75 6302.03
571 3885.41 6108.24 3903.75 6300.55
572 3884.95 6106.43 3902.73 6299.07
573 3884.42 6104.65 3901.71 6297.59
574 3883.79 6102.89 3900.67 6296.13
575 3883.05 6101.17 3899.62 6294.67
576 3882.18 6099.48 3898.54 6293.2
577 3881.16 6097.8 3897.42 6291.73
578 3879.99 6096.17 3896.27 6290.26
579 3878.71 6094.61 3895.12 6288.83
580 3877.32 6093.12 3893.98 6287.45
581 3875.83 6091.71 3892.85 6286.1
582 3874.23 6090.36 3891.71 6284.78
583 3872.55 6089.07 3890.57 6283.49
584 3870.79 6087.86 3889.45 6282.24
585 3868.99 6086.72 3888.34 6281.03
586 3867.13 6085.62 3887.23 6279.85
587 3865.22 6084.54 3886.1 6278.66
588 3863.29 6083.49 3884.98 6277.48
589 3861.36 6082.48 3883.87 6276.33
590 3859.43 6081.49 3882.77 6275.18
591 3857.51 6080.49 3881.65 6274.02
592 3855.6 6079.46 3880.52 6272.84
593 3853.73 6078.43 3879.39 6271.65
594 3851.93 6077.38 3878.27 6270.45
595 3850.19 6076.3 3877.16 6269.24
596 3848.54 6075.2 3876.05 6268.02
597 3846.97 6074.04 3874.94 6266.77
598 3845.49 6072.82 3873.83 6265.48
599 3844.12 6071.56 3872.73 6264.18
600 3842.86 6070.27 3871.65 6262.86
601 3841.72 6068.92 3870.58 6261.53
602 3840.69 6067.52 3869.52 6260.17
603 3839.76 6066.04 3868.45 6258.77
604 3838.93 6064.51 3867.38 6257.34
605 3838.2 6062.92 3866.32 6255.89
606 3837.56 6061.28 3865.26 6254.4
607 3837 6059.62 3864.21 6252.93
608 3836.55 6058 3863.21 6251.51
609 3836.2 6056.42 3862.27 6250.15
610 3835.92 6054.89 3861.38 6248.86
611 3835.68 6053.41 3860.52 6247.61
612 3835.48 6051.96 3859.7 6246.42
613 3835.26 6050.54 3858.91 6245.25
614 3835.02 6049.15 3858.12 6244.1
615 3834.72 6047.76 3857.34 6242.96
616 3834.34 6046.38 3856.54 6241.82
617 3833.86 6044.99 3855.72 6240.67
618 3833.24 6043.59 3854.85 6239.48
619 3832.48 6042.16 3853.93 6238.26
620 3831.58 6040.73 3852.97 6237.03
