Iter MassResid UResid VResid Core_dP_AfterInletBuffer(Pa) Full_dP_FullSystem(Pa)
397 3.07727e-05 0.00486349 0.00274883 4381.44 6740.36
398 3.25439e-05 0.00486772 0.00275309 4375.79 6733.56
399 3.20124e-05 0.00484394 0.00274898 4370.11 6726.86
400 3.04957e-05 0.00480665 0.0027049 4364.37 6720.23
401 3.22661e-05 0.00479855 0.00270233 4358.57 6713.59
402 3.17542e-05 0.00478197 0.00270241 4352.81 6707.05
403 3.01503e-05 0.00475229 0.00266229 4347.1 6700.58
404 3.19787e-05 0.00472595 0.00265151 4341.42 6694.1
405 3.15201e-05 0.00471656 0.00265654 4335.87 6687.72
406 2.97388e-05 0.00469433 0.00262093 4330.46 6681.4
407 3.1683e-05 0.00466622 0.00260045 4325.16 6675.07
408 3.13108e-05 0.00464743 0.00261094 4320.09 6668.84
409 2.92776e-05 0.00463249 0.00258055 4315.22 6662.68
410 3.13775e-05 0.00461356 0.00254884 4310.52 6656.5
411 3.11331e-05 0.00457421 0.00256559 4306.06 6650.41
412 2.93684e-05 0.00456634 0.00254108 4301.83 6644.4
413 3.09915e-05 0.00455355 0.00249932 4297.76 6638.38
414 3.095e-05 0.00451742 0.00251928 4293.9 6632.45
415 2.94159e-05 0.0044937 0.00250124 4290.21 6626.59
416 3.05173e-05 0.00448752 0.00245996 4286.61 6620.73
417 3.07349e-05 0.0044614 0.00247022 4283.12 6614.95
418 2.94669e-05 0.00442172 0.0024601 4279.71 6609.23
419 2.99758e-05 0.00441603 0.00241871 4276.3 6603.52
420 3.04707e-05 0.00440023 0.00241962 4272.89 6597.87
421 2.94605e-05 0.00436959 0.00241781 4269.48 6592.28
422 2.93284e-05 0.00433971 0.00238165 4265.99 6586.71
423 3.01732e-05 0.0043346 0.00236745 4262.43 6581.18
424 2.93922e-05 0.00431294 0.00237477 4258.81 6575.71
425 2.85692e-05 0.00428389 0.00234655 4255.09 6570.28
426 2.98498e-05 0.00426486 0.00231656 4251.25 6564.86
427 2.93226e-05 0.004252 0.0023304 4247.34 6559.51
428 2.77301e-05 0.00423092 0.00231099 4243.35 6554.2
429 2.94949e-05 0.00420697 0.00228235 4239.22 6548.88
430 2.9275e-05 0.00418643 0.00228302 4235.06 6543.64
431 2.78582e-05 0.00417297 0.00227347 4230.84 6538.46
432 2.89742e-05 0.00415619 0.00224625 4226.54 6533.28
433 2.916e-05 0.00412307 0.00223259 4222.22 6528.16
434 2.81186e-05 0.00410667 0.00223343 4217.9 6523.1
435 2.82334e-05 0.0040966 0.00220514 4213.54 6518.05
436 2.89041e-05 0.00407568 0.00218272 4209.18 6513.05
437 2.81783e-05 0.00404207 0.00218982 4204.85 6508.1
438 2.72959e-05 0.00403097 0.00216877 4200.54 6503.18
